"data_id","language","form","age","gender","mom_ed","comprehension","production"
49603,"English","WG",8,"Male","Graduate",26,2
49604,"English","WG",14,"Male","College",80,30
49605,"English","WG",11,"Male","Some College",96,20
49606,"English","WG",14,"Male","Some College",127,62
49607,"English","WG",11,"Male","College",96,3
49608,"English","WG",14,"Male","College",150,31
49609,"English","WG",10,"Female","Graduate",14,0
49610,"English","WG",10,"Female","Some College",94,9
49611,"English","WG",14,"Female","Some College",194,9
49612,"English","WG",14,"Female","Some College",194,9
49613,"English","WG",12,"Male","Secondary",42,1
49614,"English","WG",9,"Female","Some College",106,8
49615,"English","WG",9,"Male","Some College",19,1
49616,"English","WG",14,"Male","Secondary",219,16
49617,"English","WG",8,"Female","College",9,0
49618,"English","WG",11,"Male","Some College",66,5
49619,"English","WG",10,"Female","Secondary",21,0
49620,"English","WG",8,"Male","College",42,6
49621,"English","WG",11,"Female","Some College",365,20
49622,"English","WG",14,"Female","Some College",97,20
49623,"English","WG",11,"Female","Secondary",141,8
49624,"English","WG",10,"Female","Secondary",153,8
49625,"English","WG",12,"Female","Some College",129,18
49626,"English","WG",12,"Male","College",64,4
49627,"English","WG",12,"Male","Some College",60,14
49628,"English","WG",9,"Female","Some College",55,8
49629,"English","WG",11,"Male","College",18,9
49630,"English","WG",9,"Male","College",0,0
49631,"English","WG",12,"Female","Secondary",91,0
49632,"English","WG",14,"Female","College",217,15
49633,"English","WG",10,"Female","Graduate",8,0
49634,"English","WG",13,"Female","Graduate",44,4
49635,"English","WG",14,"Male","Some College",176,8
49636,"English","WG",14,"Male","College",282,31
49637,"English","WG",8,"Female","College",17,0
49638,"English","WG",15,"Female","College",229,102
49639,"English","WG",15,"Male","Secondary",109,6
49640,"English","WG",15,"Male","College",341,202
49641,"English","WG",8,"Male","Some College",2,0
49642,"English","WG",14,"Male","College",243,7
49643,"English","WG",11,"Female","Secondary",32,4
49644,"English","WG",12,"Female","Secondary",45,1
49645,"English","WG",14,"Male","Secondary",179,48
49646,"English","WG",11,"Female","Graduate",54,3
49647,"English","WG",9,"Female","College",43,7
49648,"English","WG",12,"Female","College",186,52
49649,"English","WG",10,"Male","Some College",34,0
49650,"English","WG",15,"Male","Some College",56,18
49651,"English","WG",11,"Male","Graduate",17,5
49652,"English","WG",11,"Male","Graduate",126,0
49653,"English","WG",16,"Female","Some College",158,110
49654,"English","WG",11,"Female","Some College",91,6
49655,"English","WG",15,"Male","Graduate",239,44
49656,"English","WG",15,"Female","Graduate",158,75
49657,"English","WG",11,"Female","College",52,6
49658,"English","WG",13,"Female","Some College",140,26
49659,"English","WG",10,"Female","Some College",34,2
49660,"English","WG",13,"Male","Some College",35,10
49661,"English","WG",9,"Male","Some Graduate",118,5
49662,"English","WG",15,"Female","Some College",221,7
49663,"English","WG",13,"Male","College",151,13
49664,"English","WG",10,"Male","Some College",31,4
49665,"English","WG",9,"Male","Some College",33,3
49666,"English","WG",15,"Male","College",101,3
49667,"English","WG",10,"Female","College",34,14
49668,"English","WG",9,"Female","College",107,0
49669,"English","WG",13,"Male","Some College",45,0
49670,"English","WG",13,"Male","Some College",45,1
49671,"English","WG",10,"Female","Secondary",74,0
49672,"English","WG",14,"Female","Some College",256,167
49673,"English","WG",14,"Female","College",47,2
49674,"English","WG",16,"Male","College",171,28
49675,"English","WG",10,"Female","College",183,16
49676,"English","WG",15,"Male","Some College",117,10
49677,"English","WG",10,"Male","College",106,0
49678,"English","WG",11,"Female","College",87,10
49679,"English","WG",11,"Female","Secondary",64,5
49680,"English","WG",12,"Male","Secondary",131,26
49681,"English","WG",10,"Female","Secondary",40,11
49682,"English","WG",11,"Male","Secondary",231,11
49683,"English","WG",13,"Female","College",227,35
49684,"English","WG",15,"Female","Secondary",102,38
49685,"English","WG",11,"Male","Some College",42,2
49686,"English","WG",15,"Male","Secondary",54,18
49687,"English","WG",15,"Male","College",378,155
49688,"English","WG",11,"Male","College",82,23
49689,"English","WG",8,"Female","Secondary",134,13
49690,"English","WG",11,"Male","Secondary",161,40
49691,"English","WG",13,"Female","Some College",140,69
49692,"English","WG",15,"Male","College",80,30
49693,"English","WG",12,"Male","Secondary",46,0
49694,"English","WG",12,"Female","Some College",102,4
49695,"English","WG",15,"Male","Some College",223,26
49696,"English","WG",16,"Female","Graduate",40,2
49697,"English","WG",16,"Female","Some College",150,56
49698,"English","WG",16,"Male","Graduate",256,23
49699,"English","WG",9,"Female","Some College",34,4
49700,"English","WG",16,"Female","College",121,40
49701,"English","WG",16,"Female","College",237,34
49702,"English","WG",15,"Female","Some College",38,4
49703,"English","WG",16,"Female","Some College",237,53
49704,"English","WG",16,"Male","Graduate",111,30
49705,"English","WG",16,"Male","Some College",127,10
49706,"English","WG",16,"Female","Some College",181,39
49707,"English","WG",16,"Female","Secondary",325,187
49708,"English","WG",16,"Female","Graduate",154,31
49709,"English","WG",10,"Female","Some College",78,0
49710,"English","WG",10,"Female","Some College",80,0
49711,"English","WG",8,"Male","Secondary",35,0
49712,"English","WG",13,"Female","Secondary",138,6
49713,"English","WG",8,"Male","Secondary",75,3
49714,"English","WG",10,"Male","Secondary",74,3
49715,"English","WG",16,"Male","College",96,33
49716,"English","WG",17,"Female","Secondary",248,131
49717,"English","WG",17,"Male","Secondary",191,63
49718,"English","WG",8,"Female",NA,81,6
49719,"English","WG",8,"Female",NA,11,0
49720,"English","WG",8,"Female","College",8,0
49721,"English","WG",8,"Female","College",47,11
49722,"English","WG",8,"Female","Some College",32,6
49723,"English","WG",8,"Female","College",9,1
49724,"English","WG",8,"Female","College",8,2
49725,"English","WG",8,"Female","Graduate",1,1
49726,"English","WG",14,"Male","Secondary",161,23
49727,"English","WG",8,"Male","Some College",50,0
49728,"English","WG",8,"Male","Some College",8,0
49729,"English","WG",13,"Male","College",5,0
49730,"English","WG",8,"Male","Graduate",9,2
49731,"English","WG",10,"Male","Secondary",34,3
49732,"English","WG",12,"Female","Some Secondary",74,12
49733,"English","WG",16,"Female","Secondary",244,137
49734,"English","WG",17,"Female","College",122,0
49735,"English","WG",13,"Female","College",256,52
49736,"English","WG",14,"Female","Secondary",84,0
49737,"English","WG",15,"Female","College",60,9
49738,"English","WG",14,"Female","Graduate",144,20
49739,"English","WG",14,"Male","College",150,33
49740,"English","WG",16,"Female","Graduate",92,34
49741,"English","WG",16,"Female","Secondary",279,179
49742,"English","WG",16,"Male","Some College",265,61
49743,"English","WG",16,"Male","Secondary",141,64
49744,"English","WG",16,"Female","Secondary",396,347
49745,"English","WG",16,"Male","Some College",213,56
49746,"English","WG",16,"Female","Secondary",104,19
49747,"English","WG",16,"Female","Secondary",85,17
49748,"English","WG",16,"Female","College",176,117
49749,"English","WG",13,"Female","Some College",192,40
49750,"English","WG",13,"Male","Some College",184,12
49751,"English","WG",13,"Male","Some College",184,0
49752,"English","WG",13,"Male","College",68,6
49753,"English","WG",16,"Female","Secondary",64,17
49754,"English","WG",14,"Male","Secondary",224,69
49755,"English","WG",14,"Female","Some Graduate",150,17
49756,"English","WG",15,"Female","Secondary",299,90
49757,"English","WG",14,"Female","Some Graduate",138,7
49758,"English","WG",14,"Female","Some College",73,0
49759,"English","WG",15,"Male","Graduate",246,9
49760,"English","WG",14,"Male","College",203,18
49761,"English","WG",15,"Female","Graduate",183,15
49762,"English","WG",14,"Female","Some College",311,37
49763,"English","WG",14,"Female","Secondary",225,88
49764,"English","WG",14,"Female","College",33,24
49765,"English","WG",14,"Male","Some College",165,20
49766,"English","WG",15,"Female","Some Graduate",171,6
49767,"English","WG",15,"Male","Graduate",152,2
49768,"English","WG",14,"Female","College",211,54
49769,"English","WG",14,"Male","Some College",244,38
49770,"English","WG",14,"Male","Some College",205,20
49771,"English","WG",14,"Female","College",290,22
49772,"English","WG",14,"Female","Secondary",173,22
49773,"English","WG",14,"Male","College",86,15
49774,"English","WG",14,"Male","Secondary",321,26
49775,"English","WG",14,"Female","Graduate",95,10
49776,"English","WG",13,"Female","Secondary",125,18
49777,"English","WG",14,"Female","Some College",203,45
49778,"English","WG",14,"Male","Some Graduate",159,3
49779,"English","WG",14,"Male","Some College",234,46
49780,"English","WG",14,"Female","Some Graduate",58,3
49781,"English","WG",13,"Female","Some College",262,19
